formulas,bandgap
Li3Fe1P1C1O7,4.2992
Li3Fe1P1C1O7,4.0565
Li3Fe1P1C1O7,3.7616
Li3Fe1P1C1O7,4.0809
Li3Fe1P1C1O7,3.5789
Li3Fe1P1C1O7,4.0108
Li3Fe1P1C1O7,4.2981
Li3Fe1P1C1O7,4.2364
Li3Fe1P1C1O7,4.2013
Li1Fe1P1C1O7,0.0139
Li1Fe1P1C1O7,0.0027
Li3Fe1P1C1O7,3.3393
Li2Fe1C1S1O7,4.1541
Li1Fe1C1S1O7,1.8918
Li3Fe1Si1C1O7,2.5352
Mn1Fe1C5N6O1,1.3475
Fe1Pb1C5N6O1,2.333
Rb2Fe1C5N6O1,2.7914
Tl2Fe1C5N6O1,2.4172
Tl1Fe1C3N1O4,2.6451
Na2Fe1P1C1O7,2.4651
Na3Fe1P1C1O7,3.7631
Na2Fe1P1C1O7,2.444
Na2Fe1P1C1O7,2.4229
Na2Fe1P1C1O7,2.4379
Na2Fe1P1C1O7,2.4388
Na2Fe1P1C1O7,2.4051
Na2Fe1P1C1O7,2.4167
Na2Fe1P1C1O7,2.4519
Na2Fe1P1C1O7,2.4156
Na2Fe1P1C1O7,2.4461
Na2Fe1P1C1O7,2.3995
Na2Fe1P1C1O7,2.3895
Na3Fe1P1C1O7,3.5016
Na1Fe1P1C1O7,0.0691
Na1Fe1C1S1O7,1.7637
Na3Fe1Si1C1O7,2.7053
Na2Ga1P1C1O7,3.7817
Gd1H7C2S1O8,2.8774
K3Ge1P1C1O7,3.6868
Li1Ge1P1C1O7,3.789
Na1Ge1P1C1O7,3.2699
Hg1H3C1S1O3,2.8054
H5Pb1C1I3N2,1.4326
H6Pb1C1I3N1,1.7627
H6Pb1C1I3N1,1.6778
H6Pb1C1I3N1,1.7575
H6Pb1C1I3N1,1.6393
Si1H6C1I3N1,0.815
Sn1H5C1I3N2,2.8703
Sn1H6C1I3N1,0.5633
Sn1H6C1I3N1,0.9481
K2Mo1H2C2O8,3.1134
K2Na1H5C2O8,4.3382
La1H4C4N1O8,3.2798
Na1Li1H4C2O5,4.6163
Mg1H8C4N6O4,4.7911
Mn2P1H2C1O7,2.1783
Mn1P1H5C1O4,3.3454
Na1H2C2N3O1,3.7863
Na1H3C1N4O1,4.8789
Na1H4C1N1O2,5.8252
Na1H4C1N1O2,5.3232
Ni1H4C2S4N2,1.3418
Ni1H6C2S2N4,0.5696
P1H6C1N1O3,5.2433
P1H6C1N1O3,5.6659
P1H8C2N1O4,5.5445
P1H8C2N1O4,5.3301
Re1H6C1N3O4,3.6454
H7C1S1N3O4,5.4663
H4C1S1N2O2,2.9683
H4C1S1N3O3,3.3221
H7C1Se1N3O4,0.5813
Sn3H6C1N1O7,1.0351
Sn3H8C2N1O7,0.0765
V3H6C1N1O7,1.9649
V3H8C2N1O7,1.8997
H7W1C7N1O5,2.5006
Zn1H3C1N1O3,3.6736
Zn1H3C1N1O3,3.519
Zn1H8C4N2O6,0.034
